団体コード,総数
,125583658
010006,5342618
011002,1936173
011011,229800
011029,282050
011037,259818
011045,210612
011053,218426
011061,139317
011070,212547
011088,127625
011096,141162
011100,114816
012025,264592
012033,120220
012041,342036
012050,86821
012068,173893
012076,167515
012084,119617
012092,8659
012106,83817
012114,36710
012122,22035
012131,172623
012149,35161
012157,22675
012165,14472
012173,118748
012181,10712
012190,22564
012203,19637
012211,28216
012220,8983
012238,26750
012246,95902
012254,41163
012262,17542
012271,3519
012289,21525
012297,22420
012301,49296
012319,68949
012335,34993
012343,58953
012351,58634
012360,47024
013030,16538
013048,3218
013315,7760
013323,4310
013331,4573
013340,4402
013374,28492
013439,4009
013455,16029
013463,17144
013471,5559
013617,8071
013625,5111
013633,4086
013641,3915
013676,2789
013706,5542
013714,8424
013919,1543
013927,3051
013935,2972
013943,4866
013951,4782
013960,2087
013978,1832
013986,2209
013994,3095
014001,14922
014010,6111
014028,13145
014036,1736
014044,900
014052,2192
014061,3205
014079,3371
014087,19502
014095,1109
014231,7746
014249,5638
014257,3238
014273,5356
014281,11192
014290,12252
014303,3413
014311,1956
014320,6782
014338,3097
014346,2431
014362,2534
014371,1959
014389,3191
014524,7123
014532,10378
014541,6629
014559,3826
014567,2929
014575,3745
014583,7934
014591,10283
014605,10949
014613,5102
014621,2581
014630,1114
014648,3527
014656,3272
014681,3341
014699,4564
014702,786
014711,1628
014729,1574
014818,4548
014826,3223
014834,3235
014842,7315
014851,1233
014869,2761
014877,3184
015113,2655
015121,3714
015130,1773
015148,8400
015164,4035
015172,2607
015181,2146
015199,2635
015202,2404
015431,20190
015440,4973
015458,11734
015466,4201
015474,5038
015491,5173
015504,3029
015521,5207
015555,20661
015598,9081
015601,2717
015610,3858
015628,1108
015636,4389
015644,7394
015717,4153
015750,2623
015784,17592
015814,4650
015849,9103
015857,8231
015865,8503
016012,12413
016021,5176
016047,5606
016071,12698
016080,4516
016098,4900
016101,23341
016314,45156
016322,6177
016331,4854
016349,5508
016357,6190
016365,9680
016373,18881
016381,3945
016390,3259
016411,5673
016420,7144
016438,27203
016446,6981
016454,3215
016462,7379
016471,7119
016489,2478
016497,4986
016616,19934
016624,9737
016632,6049
016641,7757
016659,7571
016675,2506
016683,8171
016918,15251
016926,23818
016934,5329
016942,5320
016951,0
016969,0
016977,0
016985,0
016993,0
017001,0
020001,1319349
022012,289250
022021,175038
022039,233252
022047,34491
022055,56484
022063,62724
022071,40065
022080,59801
022098,33773
022101,31978
023001,23631
023019,11440
023035,2839
023043,2919
023078,6433
023205,19208
023213,10499
023230,8709
023400,1378
023434,1378
023604,33393
023612,15296
023621,10057
023671,8040
023809,39183
023817,14146
023841,13415
023876,11622
024007,99405
024015,13687
024023,16252
024058,10912
024066,4674
024082,18185
024112,10467
024121,25228
024201,16533
024236,5583
024244,6750
024252,2048
024261,2152
024406,69762
024414,10553
024422,17962
024431,5826
024457,18915
024465,13860
024503,2646
030007,1271103
032018,291368
032026,54996
032034,37547
032051,97751
032069,92811
032077,35972
032085,28181
032093,120247
032107,19740
032115,35084
032131,27856
032140,26550
032158,119595
032166,55110
033006,37439
033014,17064
033022,6467
033031,13908
033201,60616
033219,33434
033227,27182
033600,5979
033669,5979
033804,15774
033812,15774
034002,7851
034029,7851
034401,5744
034410,5744
034606,12270
034614,12270
034801,32300
034827,16136
034835,9791
034843,3568
034851,2805
035009,37387
035017,9511
035033,4387
035068,6051
035076,17438
035203,12935
035246,12935
040002,2300472
041009,1046404
041017,286346
041025,187835
041033,132517
041041,225271
041050,214435
042021,146608
042030,54804
042056,65541
042064,35026
042072,77465
042081,29926
042099,62048
042111,44122
042129,81719
042137,70186
042145,40161
042153,132447
042161,52345
043001,13858
043010,12375
043028,1483
043206,82080
043214,23532
043222,11372
043231,38124
043249,9052
043401,14105
043419,14105
043605,46358
043613,33932
043621,12426
044008,69928
044016,14625
044041,19137
044067,36166
044202,42593
044211,28453
044229,8327
044245,5813
044407,31155
044440,7080
044458,24075
045004,41600
045012,16704
045055,24896
045802,6601
045811,6601
046001,13392
046060,13392
050008,1025559
052019,313543
052027,55056
052035,92875
052043,74434
052060,28992
052078,46947
052094,32096
052108,79426
052116,33442
052124,83897
052132,33344
052141,25472
052159,27443
053007,5355
053031,5355
053201,2423
053279,2423
053406,28347
053465,3480
053481,17372
053490,7495
053601,24001
053619,9762
053635,6089
053660,4948
053686,3202
054208,20259
054348,20259
054607,18207
054631,15581
054640,2626
060003,1112238
062014,247916
062022,82268
062031,129445
062049,105024
062057,36453
062065,41376
062073,31253
062081,24957
062090,27315
062103,61796
062111,47481
062120,16908
062138,31995
063002,26176
063011,14612
063029,11564
063207,40482
063215,19111
063223,5660
063231,7187
063240,8524
063401,7343
063410,7343
063606,41041
063614,5773
063622,8948
063631,5584
063649,8146
063657,3417
063665,4381
063673,4792
063801,39692
063819,23947
063827,15745
064009,29597
064017,7962
064025,14251
064033,7384
064203,29429
064262,7526
064289,21903
064602,14291
064611,14291
070009,1926751
072010,281746
072028,120836
072036,324698
072044,327831
072052,61720
072079,77304
072087,49343
072095,35586
072109,55965
072117,38003
072125,62608
072133,61897
072141,30576
073008,35629
073016,12178
073032,9435
073083,14016
073202,8536
073229,8536
073407,18590
073423,12754
073440,5836
073601,27460
073628,6014
073644,582
073679,4505
073687,16359
074004,28029
074021,2883
074055,6722
074071,3587
074080,14837
074209,23346
074217,16450
074225,3342
074233,3554
074403,26323
074446,1714
074454,2189
074462,1321
074471,21099
074608,49165
074616,19896
074641,6514
074659,5183
074667,17572
074802,33137
074811,14368
074829,6018
074837,9122
074845,3629
075001,41132
075019,15819
075027,6862
075035,6306
075043,6593
075051,5552
075205,28033
075213,17518
075221,10515
075400,65158
075418,4987
075426,7256
075434,13538
075442,2701
075451,10617
075469,6143
075477,18448
075485,1468
075604,14100
075612,8010
075647,6090
080004,2903615
082015,269970
082023,182912
082031,140160
082040,141398
082058,75828
082074,50638
082082,76834
082104,42714
082112,59839
082121,53692
082147,29507
082155,44616
082163,76852
082171,106851
082198,83940
082201,218394
082210,158219
082228,67251
082236,28668
082244,65501
082252,43221
082261,55224
082279,104731
082287,53587
082295,41939
082309,41686
082317,43359
082325,92724
082333,35248
082341,47904
082350,50464
082368,50926
083003,69702
083020,32757
083097,16665
083101,20280
083402,38066
083411,38066
083607,18082
083640,18082
084409,71568
084425,15672
084433,46743
084476,9153
085201,21652
085219,21652
085405,33308
085421,8715
085464,24593
085600,16440
085642,16440
090000,1955876
092011,513835
092029,147317
092037,159250
092045,118105
092053,98258
092061,84219
092088,160610
092096,77880
092100,71500
092118,33144
092134,116229
092142,44059
092151,27347
092169,59535
093009,31121
093017,31121
093408,64728
093424,23584
093432,13527
093441,11859
093459,15758
093602,64818
093611,39337
093645,25481
093807,41088
093840,11734
093866,29354
094005,42833
094072,25725
094111,17108
100005,1949754
102016,333786
102024,370722
102032,113730
102041,200856
102059,214113
102067,49170
102075,75306
102083,79339
102091,66089
102105,49304
102113,59104
102121,51058
103403,35375
103446,14505
103454,20870
103608,3278
103667,1264
103675,2014
103802,23216
103829,7866
103837,2021
103845,13329
104205,56425
104213,16619
104248,5714
104256,9690
104264,6387
104281,3696
104299,14319
104400,34748
104434,4614
104442,3348
104485,7201
104493,19585
104604,36030
104647,36030
105201,98105
105210,14835
105228,11262
105236,11281
105244,34388
105252,26339
110001,7194582
111007,1260267
111015,87144
111023,144179
111031,113336
111040,158970
111058,97854
111066,93602
111074,155943
111082,179480
111091,119737
111104,110022
112011,344734
112020,196815
112038,565506
112062,81525
112071,64021
112089,339293
112097,79508
112101,112300
112119,76836
112127,88125
112143,233111
112151,150960
112160,54258
112178,117635
112186,142132
112194,225211
112216,241237
112224,333725
112232,68638
112241,131073
112259,147407
112275,133677
112283,73794
112291,79223
112305,161934
112313,74662
112321,152001
112330,67174
112348,84236
112356,108396
112372,135705
112381,61836
112399,99100
112402,51496
112411,69011
112429,55889
112437,70252
112453,111314
112461,51881
113000,44165
113018,44165
113204,83699
113247,37639
113263,34262
113271,11798
113409,132238
113417,17912
113425,17681
113433,30965
113468,20488
113476,19613
113484,14063
113492,11516
113603,40909
113611,8461
113620,10022
113638,7318
113654,12126
113697,2982
113808,55004
113816,11216
113832,13634
113859,30154
114006,34036
114081,34036
114405,33402
114421,33402
114600,75231
114642,45425
114651,29806
120006,6152877
121002,942699
121011,198577
121029,173730
121037,154448
121045,147297
121053,126768
121061,141879
122025,62390
122033,466276
122041,615783
122050,47564
122068,132386
122076,478079
122084,152634
122106,89887
122114,128157
122122,174120
122131,58287
122157,65926
122165,168433
122173,405322
122181,18356
122190,273994
122203,178579
122211,191441
122220,130869
122238,33449
122246,108116
122254,85763
122262,45588
122271,162981
122289,90451
122297,61652
122301,70132
122319,95798
122327,62490
122335,48246
122343,39426
122351,37262
122360,78065
122378,52614
122386,38822
122394,49608
123200,41744
123226,20683
123293,21061
123404,35077
123421,6168
123471,14689
123498,14220
124001,47887
124036,16430
124095,7291
124109,24166
124206,61145
124214,12314
124222,7196
124231,14552
124249,11555
124265,7181
124273,8347
124401,17186
124419,9510
124435,7676
124605,8193
124630,8193
130001,13043707
131016,57123
131024,143464
131032,230250
131041,297253
131059,204795
131067,179222
131075,253743
131083,480434
131091,371019
131105,265614
131113,695696
131121,874339
131130,212453
131148,309767
131156,544407
131164,257247
131172,325597
131181,195282
131199,534642
131202,707289
131211,653864
131229,438125
131237,660687
132012,552115
132021,177695
132039,141147
132047,181725
132055,134340
132063,253324
132071,110322
132080,225849
132098,423067
132101,116980
132110,185324
132128,180784
132136,148215
132144,118746
132152,73943
132187,55195
132195,79639
132209,84855
132217,73374
132225,115045
132233,70811
132241,145891
132250,87906
132276,55011
132284,80663
132292,195901
133001,57486
133035,33041
133051,16929
133078,2273
133086,5243
133604,26042
133612,7937
133621,314
133639,2743
133647,1875
133817,2541
133825,302
134015,7602
134023,160
134210,2568
140007,8969530
141003,3649259
141011,278561
141020,229425
141038,94080
141046,135407
141054,189756
141062,200912
141071,164006
141089,198629
141097,335748
141101,273592
141119,213510
141127,246030
141135,177194
141143,123987
141151,121465
141160,152391
141178,305303
141186,209263
141305,1438462
141313,215244
141321,159605
141330,242737
141348,221584
141356,202867
141364,224488
141372,171937
141500,704467
141518,170016
141526,264876
141534,269575
142018,406648
142034,252882
142042,175141
142051,423069
142069,191809
142077,240294
142085,59690
142107,44900
142115,159768
142123,219162
142131,229426
142140,98373
142158,128840
142166,127601
142174,42977
142182,82064
143006,33213
143014,33213
143201,47736
143219,47736
143405,61814
143413,32895
143421,28919
143600,65622
143618,9348
143626,17090
143634,11251
143642,10783
143669,17150
143804,44631
143821,11730
143839,7495
143847,25406
144002,41682
144011,38664
144029,3018
150002,2286482
151009,794991
151017,75143
151025,137552
151033,174793
151041,69057
151050,77547
151068,45645
151076,156710
151084,58544
152021,272857
152048,99615
152056,85574
152064,99146
152081,36498
152099,28135
152102,54941
152111,41014
152129,62367
152137,80796
152161,44101
152170,33343
152188,51796
152226,195842
152234,43482
152242,57258
152251,37331
152269,57439
152277,30145
153001,14166
153079,14166
153401,8307
153427,8307
153605,12101
153613,12101
153800,11751
153851,11751
154008,4579
154059,4579
154601,8009
154610,8009
154806,9968
154822,9968
155004,4701
155047,4701
155802,6229
155811,5876
155861,353
160008,1059931
162019,412493
162027,171398
162043,42330
162051,48669
162060,33106
162078,41448
162086,48506
162094,30368
162108,51753
162116,91891
163201,50416
163210,2996
163228,21036
163236,26384
163406,37553
163422,25172
163431,12381
170003,1141345
172014,449517
172022,54060
172031,107021
172049,28044
172057,15137
172065,67885
172073,22257
172090,34800
172103,112085
172111,48957
172120,51355
173207,6263
173240,6263
173606,64302
173614,37550
173657,26752
173801,34613
173843,21129
173860,13484
174009,18286
174076,18286
174602,26763
174611,8654
174637,18109
180009,782230
182010,261829
182028,66117
182044,29766
182052,33905
182061,23897
182079,68365
182087,28467
182095,79803
182109,91454
183202,18745
183229,18745
183806,2704
183822,2704
184004,10955
184047,10955
184209,22197
184233,22197
184403,9828
184420,9828
184802,18802
184811,10511
184837,8291
185001,15396
185019,15396
190004,830262
192015,186492
192023,49499
192040,30571
192058,35697
192066,25320
192074,29832
192082,71325
192091,47244
192104,74365
192112,69477
192121,23941
192139,32698
192147,29525
193402,16132
193461,16132
193607,37352
193640,1120
193658,12610
193666,8146
193682,15476
193801,18966
193844,18966
194204,50495
194221,1751
194239,4426
194247,9219
194255,5677
194298,3142
194301,26280
194409,1331
194425,737
194433,594
200000,2094757
202011,378474
202029,237562
202037,155784
202045,50132
202053,101449
202061,49203
202070,50878
202088,42314
202096,67538
202100,32668
202118,44726
202126,28018
202134,21643
202142,55350
202151,66441
202177,98451
202185,60652
202193,30121
202207,96898
203009,25007
203033,4718
203041,3935
203050,3046
203068,1041
203076,775
203092,11492
203203,42428
203211,19856
203238,15143
203246,7429
203408,10788
203491,4492
203505,6296
203602,43049
203611,20476
203629,14735
203637,7838
203807,82431
203823,19705
203831,24353
203840,9502
203858,15004
203866,4970
203882,8897
204005,60979
204021,13448
204030,13149
204048,4779
204072,6498
204099,448
204102,966
204111,3818
204129,581
204137,1375
204145,1665
204153,6483
204161,6713
204170,1056
204200,28167
204226,4695
204234,4310
204251,2982
204293,794
204307,3844
204323,11542
204404,22756
204463,2851
204480,1861
204501,8665
204510,4626
204528,4753
204803,31502
204811,10073
204820,9818
204854,8655
204862,2956
205206,14908
205214,14908
205401,18236
205419,11056
205435,7180
205605,21363
205613,12860
205621,4867
205630,3636
205800,22847
205834,8717
205885,2631
205907,11499
206008,1994
206024,1994
210005,2019491
212016,404168
212024,157624
212032,89353
212041,111189
212059,88422
212067,79197
212075,20952
212083,37506
212091,67331
212105,51060
212113,51898
212121,57850
212130,145760
212148,95371
212156,27380
212164,52005
212172,25003
212181,34439
212199,42867
212202,33446
212211,35118
213004,46920
213021,24749
213039,22171
213403,29507
213411,29507
213608,34365
213616,27087
213624,7278
213802,43850
213811,19271
213829,9558
213837,15021
214001,69310
214019,21977
214035,23254
214043,24079
214205,17894
214213,17894
215007,49861
215015,7652
215023,5591
215031,10294
215040,4013
215058,11349
215066,8601
215074,2361
215201,18197
215210,18197
216003,1648
216046,1648
220001,3680266
221007,700608
221015,253671
221023,208061
221031,238876
221309,786233
221317,230558
221325,127018
221333,110243
221341,99281
221350,92675
221368,96424
221376,30034
222038,195391
222054,37343
222062,110214
222071,132360
222089,70193
222097,98912
222101,251055
222119,163941
222127,137894
222135,114073
222143,145069
222151,87285
222160,83986
222194,22537
222208,52013
222216,57809
222224,31627
222232,32516
222241,45141
222259,49035
222267,45297
223000,44056
223018,12642
223026,7461
223042,8632
223051,6982
223069,8339
223204,38050
223255,38050
223409,93291
223417,31650
223425,42654
223441,18987
224201,35773
224243,28579
224294,7194
224600,18564
224618,18564
230006,7315013
231002,2206437
231011,153765
231029,72308
231037,158607
231045,143144
231053,128309
231061,74064
231070,98934
231088,104585
231096,62961
231100,213733
231118,139604
231126,132220
231134,169515
231142,241065
231151,159414
231169,154209
232017,363280
232025,374947
232033,380701
232041,126855
232050,115853
232068,305232
232076,180564
232084,62620
232092,68386
232106,146097
232114,409105
232122,180529
232131,163842
232149,78326
232157,72666
232165,57467
232173,99436
232190,145507
232203,135222
232211,47223
232220,112725
232238,88820
232246,84125
232254,66865
232262,81849
232271,44580
232289,45742
232297,66249
232301,87731
232319,62027
232327,63503
232335,66014
232343,83573
232351,42837
232360,59031
232378,86783
232386,55557
233005,42228
233021,42228
233404,15083
233421,15083
233609,57569
233617,23264
233625,34305
234206,72482
234249,31397
234257,36710
234273,4375
234401,160023
234419,28297
234427,48927
234451,18260
234460,22273
234478,42266
235008,39694
235016,39694
235601,9628
235610,5063
235628,3391
235636,1174
240001,1798308
242012,274163
242021,304049
242039,127972
242047,162700
242055,139698
242071,193259
242080,79370
242098,18610
242101,47975
242110,19486
242128,17590
242144,44230
242152,51859
242161,89368
243001,6122
243035,6122
243205,25086
243248,25086
243400,65993
243418,40934
243434,10493
243442,14566
244406,47527
244414,14876
244422,23011
244431,9640
244601,46430
244619,15526
244708,8412
244716,9028
244724,13464
245402,16585
245437,16585
245607,20236
245615,8924
245623,11312
250007,1395217
252018,338546
252026,110600
252034,117065
252042,81021
252069,129735
252077,81158
252085,67256
252093,88988
252107,50459
252115,52710
252123,49900
252131,112479
252140,39231
253804,33503
253839,21435
253847,12068
254207,20529
254258,20529
254401,22037
254410,7248
254428,7215
254436,7574
260002,2515005
261009,1375773
261017,108728
261025,74089
261033,149184
261041,103150
261050,35266
261068,74984
261076,93959
261084,190487
261092,268576
261106,128947
261114,148403
262013,78718
262021,84172
262030,34130
262048,185940
262056,18614
262064,89605
262072,77023
262081,55287
262099,80153
262102,71141
262111,67392
262129,56417
262137,32427
262145,74654
263001,15591
263036,15591
263206,15846
263222,15846
263401,16869
263435,7535
263443,9334
263605,45760
263648,1425
263656,4153
263664,37321
263672,2861
264008,14750
264075,14750
264601,24743
264636,2204
264652,22539
270008,8646380
271004,2565982
271021,101003
271039,70859
271047,65902
271063,90378
271071,79251
271080,65428
271098,70658
271110,58041
271136,93789
271144,164839
271152,74513
271161,99979
271179,88726
271187,163499
271195,105844
271209,149815
271217,127426
271225,100347
271233,168898
271241,111251
271250,120032
271268,190853
271276,115350
271284,89301
271403,831261
271411,142622
271420,123724
271438,86368
271446,137417
271454,145070
271462,157313
271471,38747
272027,195915
272035,398937
272043,101570
272051,364938
272060,74358
272078,351269
272086,88109
272094,141620
272108,400948
272116,277680
272124,261562
272132,99384
272141,112934
272159,234665
272167,107954
272175,120107
272183,119688
272191,184646
272205,134212
272213,69581
272221,112487
272230,121879
272248,84214
272256,57667
272264,65182
272272,476959
272281,62746
272299,55530
272302,77422
272311,57694
272329,55641
273007,30490
273015,30490
273201,30911
273210,20362
273228,10549
273406,16924
273414,16924
273601,68467
273619,43839
273627,8473
273660,16155
273805,34847
273813,13648
273821,15724
273830,5475
280003,5506465
281000,1501113
281018,208729
281026,128792
281051,103855
281069,92869
281077,160287
281085,221636
281093,219893
281107,120886
281115,244166
282014,529626
282022,452081
282031,295776
282049,479440
282057,45120
282065,94706
282073,198815
282081,29841
282090,83369
282103,266018
282120,48737
282138,41251
282146,231407
282154,77647
282162,91695
282171,158466
282189,48471
282197,112731
282201,44250
282219,42086
282227,24666
282235,65352
282243,48407
282251,31236
282260,45040
282278,39166
282286,39392
282294,77787
283002,31570
283011,31570
283606,21507
283657,21507
283801,65429
283819,31129
283827,34300
284408,43498
284424,12569
284432,19109
284467,11820
284602,34112
284645,34112
284807,15476
284815,15476
285005,17609
285013,17609
285803,33572
285854,18513
285862,15059
290009,1368900
292010,357465
292028,66227
292036,87055
292044,65763
292052,122596
292061,58051
292079,31638
292087,26815
292095,119809
292109,78542
292117,36882
292125,31450
293202,3720
293229,3720
293407,77840
293423,19145
293431,23097
293440,28150
293458,7448
293601,47662
293610,8533
293628,7007
293636,32122
293806,3282
293857,1528
293865,1754
294004,12671
294012,6989
294021,5682
294209,99032
294241,22734
294250,23431
294268,34812
294276,18055
294403,42400
294411,7567
294420,18056
294438,5771
294446,742
294462,1484
294471,429
294497,3477
294501,966
294519,544
294527,1493
294535,1871
300004,978540
302015,369721
302023,52375
302031,64109
302040,29107
302058,24089
302066,76245
302074,29663
302082,64201
302091,53595
303003,9345
303046,9345
303402,25059
303411,17342
303437,4502
303445,3215
303607,46784
303615,12454
303623,7278
303666,27052
303801,53273
303810,7463
303828,7938
303836,6073
303909,8496
303917,13199
303925,10104
304000,41621
304018,21884
304042,15511
304069,4226
304204,39353
304212,15853
304221,3254
304247,2842
304271,453
304280,16951
310000,571173
312011,189702
312029,148190
312037,48078
312045,34375
313009,11778
313025,11778
313203,28354
313254,3377
313289,7348
313297,17629
313602,56838
313645,6662
313700,17006
313718,17875
313726,15295
313807,42524
313840,3485
313866,16725
313891,11120
313904,11194
314005,11334
314013,4911
314021,3333
314030,3090
320005,689603
322016,203114
322024,55421
322032,171940
322041,47694
322059,35760
322067,39774
322075,24027
322091,39755
323403,13207
323438,13207
323802,5050
323861,5050
324400,19476
324418,3410
324485,4940
324493,11126
325007,13963
325015,7703
325058,6260
325201,20422
325252,2294
325261,2908
325279,602
325287,14618
330001,1903779
331007,697437
331015,288982
331023,144436
331031,95430
331040,168589
332020,478652
332038,102189
332046,60687
332054,49951
332071,41147
332089,67209
332097,31249
332101,30583
332119,35321
332127,37537
332135,44296
332143,46956
332151,28515
332160,34951
333409,14413
333468,14413
334201,12317
334235,12317
334405,11086
334456,11086
334600,14377
334618,14377
335801,944
335860,944
336009,13337
336068,13337
336203,17383
336220,11236
336238,6147
336408,1471
336432,1471
336602,19874
336637,5009
336661,14865
336807,11897
336815,11897
340006,2812091
341002,1176642
341011,127801
341029,119498
341037,139556
341045,186335
341053,240449
341061,146044
341070,79557
341088,137402
342025,227891
342033,26564
342041,95045
342050,138662
342076,463371
342084,40307
342092,53490
342106,36638
342114,27480
342122,180001
342131,116150
342149,29137
342157,23844
343005,117594
343021,51519
343048,28840
343072,24263
343099,12972
343609,25516
343684,6625
343692,18891
344206,7717
344311,7717
344605,16590
344621,16590
345407,9452
345458,9452
350001,1394042
352012,265333
352021,166345
352039,192380
352047,49355
352063,116192
352071,56068
352080,136727
352101,51976
352110,35200
352128,32719
352136,25435
352152,145085
352161,63343
353001,17144
353051,17144
353205,6411
353213,6411
353400,30850
353418,2944
353434,15585
353442,12321
355003,3479
355020,3479
360007,758844
362018,254256
362026,59192
362034,38893
362042,74607
362051,42087
362069,38285
362077,30040
362085,27453
363006,7034
363014,5427
363022,1607
363201,2451
363219,2451
363405,31665
363413,26051
363421,5614
363600,8844
363685,8844
363804,21087
363839,4343
363871,7059
363880,9685
364002,98703
364011,15244
364029,22962
364037,34762
364045,13513
364053,12222
364606,9547
364681,9547
364801,14700
364894,14700
370002,987146
372013,425229
372021,111709
372030,53608
372048,32356
372056,61021
372064,49867
372072,31738
372081,66805
373206,29524
373222,14415
373249,15109
373401,28352
373419,28352
373605,3138
373648,3138
373800,42411
373869,18055
373877,24356
374008,51388
374032,9353
374041,22974
374067,19061
380008,1394413
382019,513003
382027,160585
382035,78430
382043,35071
382051,120680
382060,110352
382078,44734
382108,37633
382132,88696
382141,39509
382159,33418
383406,6895
383562,6895
383805,8736
383864,8736
384003,52315
384011,30773
384020,21542
384208,17132
384224,17132
384402,9853
384429,9853
384801,14895
384844,4118
384887,10777
385000,22476
385069,22476
390003,728616
392014,332478
392022,14160
392031,17907
392049,47807
392057,27524
392065,22331
392081,21241
392090,14234
392103,34642
392111,33629
392120,26380
393002,17584
393011,2614
393029,3349
393037,2754
393045,2787
393053,1345
393061,908
393070,3827
393401,7527
393410,3514
393444,4013
393606,4413
393631,4009
393649,404
393801,29395
393860,23674
393878,5721
394009,58846
394017,7170
394025,13194
394033,5892
394050,3635
394106,5171
394114,6042
394122,17742
394203,18518
394246,5366
394271,1633
394289,11519
400009,5062176
401005,954377
401013,100624
401030,83279
401056,58270
401064,176255
401072,212760
401081,68016
401099,255173
401307,1482778
401315,295506
401323,215722
401331,178760
401340,252507
401358,202489
401366,122879
401374,214915
402028,117467
402036,303425
402044,56979
402052,128916
402061,48686
402079,67521
402109,65034
402117,48752
402125,35134
402133,72392
402141,26156
402150,42683
402168,58740
402176,102769
402184,112116
402192,99396
402206,96303
402214,71530
402231,57979
402249,61376
402257,30399
402265,28291
402273,39462
402281,54345
402290,38420
402303,99555
403008,50195
403059,50195
403407,227512
403415,37059
403423,31479
403431,45168
403440,27690
403458,31682
403482,8515
403491,45919
403806,94129
403814,14275
403822,28620
403831,31990
403849,19244
404004,24234
404012,7841
404021,16393
404209,13723
404217,13723
404403,31691
404471,29458
404489,2233
405001,15426
405035,15426
405205,14250
405221,14250
405400,19707
405442,19707
406007,80407
406015,11367
406023,10368
406040,9291
406058,17428
406082,5282
406091,3243
406104,23428
406201,56427
406210,36080
406252,20347
406406,33494
406422,6802
406465,7763
406473,18929
410004,832834
412015,233229
412023,124407
412031,71914
412040,19805
412058,55496
412066,49506
412074,30079
412082,45476
412091,26879
412104,31942
413208,16128
413275,16128
413402,52277
413411,17269
413453,9566
413461,25442
413801,5891
413879,5891
414000,20407
414018,20407
414204,40297
414239,6805
414247,9617
414255,23875
414409,9101
414417,9101
420000,1381794
422011,426429
422029,254771
422037,46142
422045,138585
422053,94952
422070,32515
422088,23593
422096,31661
422100,27521
422118,38215
422126,28596
422134,44725
422142,47768
423009,72492
423076,42483
423084,30009
423203,37351
423211,8217
423220,14180
423238,14954
423807,16357
423831,2568
423912,13789
424005,20121
424111,20121
430005,1786651
431001,729092
431010,174592
431028,188558
431036,91759
431044,129415
431052,144768
432024,128037
432032,33425
432041,53710
432059,25417
432067,67035
432083,53394
432105,49414
432113,37471
432121,28441
432130,59962
432148,26941
432156,83852
432164,60485
433403,10538
433489,10538
433608,41949
433641,5382
433675,10040
433683,15997
433691,10530
434001,74789
434035,34033
434043,40756
434205,37521
434230,4141
434248,7361
434256,1520
434281,6607
434329,6818
434337,11074
434400,86175
434418,17264
434426,9094
434434,33125
434442,10928
434477,15764
434604,12251
434680,12251
434809,22866
434825,18086
434841,4780
435007,56378
435015,11016
435058,9962
435066,4080
435074,2294
435104,4625
435112,1162
435121,3594
435139,3896
435147,15749
435201,7508
435317,7508
440001,1165898
442011,476957
442020,115594
442038,83986
442046,67306
442054,73580
442062,39635
442071,18455
442089,22609
442097,22783
442101,30104
442119,57092
442127,37316
442135,34822
442143,29141
443204,2152
443221,2152
443409,28454
443417,28454
444600,25912
444618,9852
444626,16060
450006,1114552
452017,402570
452025,166387
452033,126331
452041,54611
452050,46678
452068,62484
452076,19162
452084,31188
452092,20131
453404,25995
453412,25995
453609,9673
453617,9673
453803,27393
453820,19855
453838,7538
454001,71994
454010,20861
454028,17723
454036,1206
454044,5342
454052,16054
454061,10808
454206,28947
454214,18399
454290,1830
454303,2940
454311,5778
454401,21008
454419,12754
454427,4178
454435,4076
460001,1660215
462012,604362
462039,104217
462047,21871
462063,21435
462080,54131
462101,41980
462136,15853
462144,15460
462152,96642
462161,49670
462179,37446
462187,126168
462195,28744
462209,35386
462217,32140
462225,44143
462233,36363
462241,26993
462250,76497
463001,1093
463035,375
463043,718
463809,22023
463922,22023
464007,10743
464040,10743
464406,9800
464520,9800
464601,13423
464686,13423
464805,38461
464821,6712
464902,7973
464911,7737
464929,16039
465003,26888
465011,8258
465020,5754
465054,12876
465208,68283
465232,1541
465241,1757
465259,9121
465275,6034
465291,7316
465305,11236
465313,6148
465321,6898
465330,6745
465348,6157
465356,5330
470007,1453208
472018,320064
472051,97043
472077,48943
472085,113421
472093,62204
472107,60457
472115,140208
472123,62669
472131,121794
472140,54083
472158,43069
473006,65074
473014,4906
473022,3149
473031,1829
473065,9566
473081,13377
473111,10373
473138,5912
473146,11358
473154,4604
473201,154348
473243,40877
473251,13639
473260,28519
473278,16500
473286,20095
473294,34718
473405,102751
473481,19123
473502,37880
473537,686
473545,925
473553,720
473561,383
473570,1247
473588,576
473596,1256
473600,1496
473618,8052
473626,30407
473707,1165
473758,1165
473804,5915
473812,4218
473821,1697
